game_index,mcts_colour,winner,moves
0,Black,White,63
1,White,Black,64
2,Black,White,69
3,White,Black,66
4,Black,NoColour,80
5,White,Black,38
6,Black,White,49
7,White,Black,44
8,Black,NoColour,80
9,White,Black,76
10,Black,White,69
11,White,NoColour,63
12,Black,White,45
13,White,Black,58
14,Black,White,47
15,White,Black,78
16,Black,White,39
17,White,Black,52
18,Black,White,69
19,White,Black,56
20,Black,White,53
21,White,Black,56
22,Black,White,67
23,White,Black,80
24,Black,NoColour,65
25,White,NoColour,80
26,Black,White,57
27,White,Black,66
28,Black,White,49
29,White,Black,38
30,Black,White,73
31,White,Black,70
32,Black,NoColour,80
33,White,Black,50
34,Black,White,57
35,White,Black,42
36,Black,White,71
37,White,Black,48
38,Black,NoColour,80
39,White,NoColour,80
40,Black,NoColour,80
41,White,NoColour,80
42,Black,White,71
43,White,Black,32
44,Black,White,53
45,White,Black,58
46,Black,NoColour,80
47,White,Black,66
48,Black,NoColour,61
49,White,Black,64
50,Black,White,47
51,White,Black,56
52,Black,White,51
53,White,NoColour,80
54,Black,White,39
55,White,Black,74
56,Black,NoColour,80
57,White,Black,52
58,Black,White,43
59,White,Black,50
60,Black,White,75
61,White,NoColour,80
62,Black,NoColour,80
63,White,Black,50
64,Black,NoColour,69
65,White,Black,60
66,Black,White,53
67,White,Black,62
68,Black,White,55
69,White,Black,48
70,Black,NoColour,80
71,White,Black,50
72,Black,White,39
73,White,Black,40
74,Black,White,75
75,White,Black,42
76,Black,White,51
77,White,Black,54
78,Black,NoColour,80
79,White,NoColour,80
80,Black,NoColour,80
81,White,NoColour,80
82,Black,NoColour,67
83,White,Black,68
84,Black,White,55
85,White,Black,80
86,Black,NoColour,80
87,White,Black,62
88,Black,NoColour,77
89,White,NoColour,80
90,Black,White,53
91,White,NoColour,74
92,Black,White,55
93,White,Black,62
94,Black,White,55
95,White,Black,74
96,Black,White,43
97,White,Black,64
98,Black,NoColour,80
99,White,Black,44
