game_index,mcts_colour,winner,moves
0,Black,NoColour,80
1,White,NoColour,72
2,Black,White,61
3,White,Black,80
4,Black,NoColour,80
5,White,Black,58
6,Black,White,71
7,White,White,69
8,Black,NoColour,80
9,White,Black,50
10,Black,White,55
11,White,NoColour,80
12,Black,White,67
13,White,NoColour,80
14,Black,NoColour,80
15,White,NoColour,80
16,Black,White,79
17,White,NoColour,80
18,Black,NoColour,80
19,White,Black,64
20,Black,NoColour,80
21,White,NoColour,80
22,Black,NoColour,80
23,White,Black,74
24,Black,NoColour,80
25,White,NoColour,69
26,Black,NoColour,80
27,White,Black,58
28,Black,NoColour,80
29,White,NoColour,80
30,Black,White,67
31,White,Black,60
32,Black,White,55
33,White,NoColour,80
34,Black,White,59
35,White,Black,74
36,Black,NoColour,80
37,White,NoColour,64
38,Black,White,49
39,White,NoColour,80
40,Black,White,67
41,White,NoColour,69
42,Black,White,77
43,White,NoColour,80
44,Black,NoColour,80
45,White,NoColour,75
46,Black,White,77
47,White,Black,74
48,Black,White,49
49,White,Black,64
50,Black,NoColour,74
51,White,NoColour,70
52,Black,NoColour,73
53,White,Black,50
54,Black,NoColour,80
55,White,NoColour,72
56,Black,White,63
57,White,NoColour,76
58,Black,NoColour,80
59,White,NoColour,80
60,Black,NoColour,80
61,White,Black,50
62,Black,NoColour,80
63,White,NoColour,80
64,Black,NoColour,80
65,White,NoColour,80
66,Black,White,57
67,White,Black,70
68,Black,White,47
69,White,NoColour,80
70,Black,NoColour,80
71,White,NoColour,80
72,Black,NoColour,80
73,White,Black,80
74,Black,NoColour,68
75,White,NoColour,77
76,Black,NoColour,80
77,White,NoColour,80
78,Black,NoColour,80
79,White,NoColour,80
80,Black,White,57
81,White,NoColour,80
82,Black,NoColour,80
83,White,NoColour,80
84,Black,NoColour,69
85,White,NoColour,80
86,Black,NoColour,80
87,White,Black,48
88,Black,White,67
89,White,Black,44
90,Black,NoColour,64
91,White,Black,62
92,Black,White,55
93,White,Black,64
94,Black,NoColour,80
95,White,NoColour,78
96,Black,White,77
97,White,NoColour,80
98,Black,NoColour,80
99,White,NoColour,80
