game_index,mcts_colour,winner,moves
0,Black,Black,78
1,White,NoColour,62
2,Black,NoColour,80
3,White,Black,68
4,Black,NoColour,70
5,White,Black,66
6,Black,White,73
7,White,Black,74
8,Black,NoColour,80
9,White,NoColour,63
10,Black,Black,54
11,White,NoColour,80
12,Black,NoColour,80
13,White,NoColour,80
14,Black,NoColour,80
15,White,NoColour,79
16,Black,NoColour,80
17,White,NoColour,80
18,Black,NoColour,80
19,White,NoColour,80
20,Black,White,77
21,White,Black,72
22,Black,NoColour,80
23,White,White,79
24,Black,NoColour,80
25,White,NoColour,72
26,Black,NoColour,79
27,White,White,53
28,Black,NoColour,72
29,White,NoColour,80
30,Black,NoColour,80
31,White,NoColour,80
32,Black,Black,50
33,White,NoColour,80
34,Black,Black,48
35,White,NoColour,80
36,Black,NoColour,80
37,White,NoColour,80
38,Black,White,47
39,White,Black,62
40,Black,NoColour,80
41,White,NoColour,80
42,Black,NoColour,80
43,White,NoColour,80
44,Black,White,69
45,White,NoColour,80
46,Black,NoColour,80
47,White,White,73
48,Black,Black,64
49,White,NoColour,67
50,Black,White,59
51,White,NoColour,80
52,Black,NoColour,54
53,White,NoColour,74
54,Black,NoColour,80
55,White,NoColour,71
56,Black,NoColour,80
57,White,NoColour,69
58,Black,NoColour,79
59,White,Black,70
60,Black,Black,46
61,White,White,51
62,Black,NoColour,80
63,White,NoColour,80
64,Black,NoColour,80
65,White,NoColour,67
66,Black,NoColour,80
67,White,NoColour,80
68,Black,White,59
69,White,White,77
70,Black,NoColour,80
71,White,NoColour,55
72,Black,NoColour,80
73,White,White,51
74,Black,NoColour,80
75,White,NoColour,80
76,Black,NoColour,80
77,White,NoColour,80
78,Black,NoColour,80
79,White,Black,78
80,Black,White,71
81,White,NoColour,80
82,Black,Black,76
83,White,White,45
84,Black,NoColour,77
85,White,Black,50
86,Black,Black,52
87,White,NoColour,80
88,Black,NoColour,49
89,White,NoColour,65
90,Black,NoColour,80
91,White,NoColour,69
92,Black,Black,76
93,White,White,67
94,Black,NoColour,63
95,White,NoColour,80
96,Black,NoColour,68
97,White,White,53
98,Black,NoColour,77
99,White,NoColour,64
